,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
358,2017,Yorkshire and the Humber,F,   250-499,3,10,876
359,2017,Yorkshire and the Humber,F,   500 or more,15,15,4963
360,2017,Yorkshire and the Humber,G,   1,6,2505,546
361,2017,Yorkshire and the Humber,G,   2-4,30,9600,3850
362,2017,Yorkshire and the Humber,G,   5-9,29,4325,4313
363,2017,Yorkshire and the Humber,G,   10-19,29,2125,5282
364,2017,Yorkshire and the Humber,G,   20-49,29,985,8057
365,2017,Yorkshire and the Humber,G,   50-99,20,285,5091
366,2017,Yorkshire and the Humber,G,   100-199,15,110,3676
367,2017,Yorkshire and the Humber,G,   200-249,4,20,1143
368,2017,Yorkshire and the Humber,G,   250-499,11,30,4747
369,2017,Yorkshire and the Humber,G,   500 or more,389,45,58885
370,2017,Yorkshire and the Humber,H,   1,1,375,56
371,2017,Yorkshire and the Humber,H,   2-4,6,2095,479
372,2017,Yorkshire and the Humber,H,   5-9,5,760,424
373,2017,Yorkshire and the Humber,H,   10-19,7,535,732
374,2017,Yorkshire and the Humber,H,   20-49,8,255,958
375,2017,Yorkshire and the Humber,H,   50-99,6,85,811
376,2017,Yorkshire and the Humber,H,   100-199,5,40,800
377,2017,Yorkshire and the Humber,H,   200-249,2,10,244
378,2017,Yorkshire and the Humber,H,   250-499,5,15,484
379,2017,Yorkshire and the Humber,H,   500 or more,26,15,3193
380,2017,Yorkshire and the Humber,I,   1,3,1210,115
381,2017,Yorkshire and the Humber,I,   2-4,17,4730,645
382,2017,Yorkshire and the Humber,I,   5-9,17,2445,579
383,2017,Yorkshire and the Humber,I,   10-19,21,1495,610
384,2017,Yorkshire and the Humber,I,   20-49,21,735,626
385,2017,Yorkshire and the Humber,I,   50-99,10,155,361
386,2017,Yorkshire and the Humber,I,   100-199,5,40,204
387,2017,Yorkshire and the Humber,I,   200-249,2,5,66
388,2017,Yorkshire and the Humber,I,   250-499,6,15,363
389,2017,Yorkshire and the Humber,I,   500 or more,27,15,1170
390,2017,Yorkshire and the Humber,J,   1,28,12480,2125
391,2017,Yorkshire and the Humber,J,   2-4,150,50775,14306
392,2017,Yorkshire and the Humber,J,   5-9,126,18380,12312
393,2017,Yorkshire and the Humber,J,   10-19,144,10435,14774
394,2017,Yorkshire and the Humber,J,   20-49,173,5695,21608
395,2017,Yorkshire and the Humber,J,   50-99,127,1855,16454
396,2017,Yorkshire and the Humber,J,   100-199,103,750,14105
397,2017,Yorkshire and the Humber,J,   200-249,37,165,4724
398,2017,Yorkshire and the Humber,J,   250-499,85,245,16042
399,2017,Yorkshire and the Humber,J,   500 or more,767,265,101013
400,2017,Yorkshire and the Humber,K,   1,*,85, ..
401,2017,Yorkshire and the Humber,K,   2-4,2,740, ..
402,2017,Yorkshire and the Humber,K,   5-9,2,250, ..
403,2017,Yorkshire and the Humber,K,   10-19,1,100, ..
