,Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover
380,2013,Yorkshire and the Humber,I,   1,4,1660,168
381,2013,Yorkshire and the Humber,I,   2-4,15,4085,602
382,2013,Yorkshire and the Humber,I,   5-9,15,2090,528
383,2013,Yorkshire and the Humber,I,   10-19,15,1085,491
384,2013,Yorkshire and the Humber,I,   20-49,14,490,437
385,2013,Yorkshire and the Humber,I,   50-99,8,120,385
386,2013,Yorkshire and the Humber,I,   100-199,4,35,145
387,2013,Yorkshire and the Humber,I,   200-249,*,5,*
388,2013,Yorkshire and the Humber,I,   250-499,*,10,*
389,2013,Yorkshire and the Humber,I,   500 or more,23,10,780
390,2013,Yorkshire and the Humber,J,   1,31,13525,2188
391,2013,Yorkshire and the Humber,J,   2-4,132,42745,11509
392,2013,Yorkshire and the Humber,J,   5-9,118,17150,11033
393,2013,Yorkshire and the Humber,J,   10-19,129,9300,13136
394,2013,Yorkshire and the Humber,J,   20-49,157,5180,19266
395,2013,Yorkshire and the Humber,J,   50-99,116,1695,15225
396,2013,Yorkshire and the Humber,J,   100-199,95,685,13747
397,2013,Yorkshire and the Humber,J,   200-249,36,155,6281
398,2013,Yorkshire and the Humber,J,   250-499,81,240,12333
399,2013,Yorkshire and the Humber,J,   500 or more,771,235,84664
400,2013,Yorkshire and the Humber,K,   1,0,100, -
401,2013,Yorkshire and the Humber,K,   2-4,2,700, -
402,2013,Yorkshire and the Humber,K,   5-9,2,260, -
403,2013,Yorkshire and the Humber,K,   10-19,2,120, -
404,2013,Yorkshire and the Humber,K,   20-49,2,60, -
405,2013,Yorkshire and the Humber,K,   50-99,2,30, -
406,2013,Yorkshire and the Humber,K,   100-199,1,10, -
407,2013,Yorkshire and the Humber,K,   200-249,*,5, -
408,2013,Yorkshire and the Humber,K,   250-499,*,5, -
409,2013,Yorkshire and the Humber,K,   500 or more,63,10, -
410,2013,Yorkshire and the Humber,L,   1,0,175,35
411,2013,Yorkshire and the Humber,L,   2-4,4,1360,371
412,2013,Yorkshire and the Humber,L,   5-9,3,520,244
