,Region,Year,Other taxes on products
732,Redbridge and Waltham Forest,2017,509
733,Redbridge and Waltham Forest,2018,492
734,Redbridge and Waltham Forest,2019,512
735,Redbridge and Waltham Forest,2020,451
736,Redbridge and Waltham Forest,2021,545
737,Redbridge and Waltham Forest,2022,586
738,Enfield,2017,449
739,Enfield,2018,523
740,Enfield,2019,561
741,Enfield,2020,513
742,Enfield,2021,612
743,Enfield,2022,572
744,Outer London - South,2017,1451
745,Outer London - South,2018,1531
746,Outer London - South,2019,1550
747,Outer London - South,2020,1362
748,Outer London - South,2021,1508
749,Outer London - South,2022,1644
750,Bromley,2017,377
751,Bromley,2018,405
752,Bromley,2019,414
753,Bromley,2020,374
754,Bromley,2021,377
755,Bromley,2022,392
756,Croydon,2017,486
757,Croydon,2018,497
758,Croydon,2019,474
759,Croydon,2020,414
760,Croydon,2021,476
761,Croydon,2022,538
762,"Merton, Kingston upon Thames and Sutton",2017,588
763,"Merton, Kingston upon Thames and Sutton",2018,628
764,"Merton, Kingston upon Thames and Sutton",2019,663
765,"Merton, Kingston upon Thames and Sutton",2020,575
766,"Merton, Kingston upon Thames and Sutton",2021,654
767,"Merton, Kingston upon Thames and Sutton",2022,715
768,Outer London - West and North West,2017,3828
769,Outer London - West and North West,2018,3801
770,Outer London - West and North West,2019,3958
771,Outer London - West and North West,2020,2835
772,Outer London - West and North West,2021,3410
773,Outer London - West and North West,2022,4210
774,Barnet,2017,520
775,Barnet,2018,529
776,Barnet,2019,538
777,Barnet,2020,464
778,Barnet,2021,602
779,Barnet,2022,617
780,Brent,2017,463
781,Brent,2018,425
782,Brent,2019,452
783,Brent,2020,423
784,Brent,2021,516
785,Brent,2022,610
786,Ealing,2017,410
787,Ealing,2018,386
788,Ealing,2019,389
789,Ealing,2020,395
790,Ealing,2021,470
791,Ealing,2022,533
792,Harrow and Hillingdon,2017,1322
793,Harrow and Hillingdon,2018,1320
794,Harrow and Hillingdon,2019,1374
795,Harrow and Hillingdon,2020,895
796,Harrow and Hillingdon,2021,1066
797,Harrow and Hillingdon,2022,1275
798,Hounslow and Richmond upon Thames,2017,1114
799,Hounslow and Richmond upon Thames,2018,1141
800,Hounslow and Richmond upon Thames,2019,1205
801,Hounslow and Richmond upon Thames,2020,658
802,Hounslow and Richmond upon Thames,2021,756
803,Hounslow and Richmond upon Thames,2022,1176
804,South East,2017,14311
805,South East,2018,14399
806,South East,2019,14500
807,South East,2020,12631
808,South East,2021,14186
809,South East,2022,15439
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,3717
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,3771
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,3821
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,3639
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,4023
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,4233
816,Berkshire,2017,1454
817,Berkshire,2018,1532
818,Berkshire,2019,1573
819,Berkshire,2020,1527
820,Berkshire,2021,1635
821,Berkshire,2022,1620
822,Milton Keynes,2017,404
823,Milton Keynes,2018,398
824,Milton Keynes,2019,393
825,Milton Keynes,2020,367
826,Milton Keynes,2021,411
827,Milton Keynes,2022,460
828,Buckinghamshire CC,2017,812
829,Buckinghamshire CC,2018,793
830,Buckinghamshire CC,2019,786
831,Buckinghamshire CC,2020,719
832,Buckinghamshire CC,2021,821
833,Buckinghamshire CC,2022,889
834,Oxfordshire CC,2017,1047
835,Oxfordshire CC,2018,1047
836,Oxfordshire CC,2019,1069
837,Oxfordshire CC,2020,1026
838,Oxfordshire CC,2021,1157
839,Oxfordshire CC,2022,1264
840,"Surrey, East and West Sussex",2017,4812
841,"Surrey, East and West Sussex",2018,4786
842,"Surrey, East and West Sussex",2019,4787
843,"Surrey, East and West Sussex",2020,3671
844,"Surrey, East and West Sussex",2021,4215
845,"Surrey, East and West Sussex",2022,4772
846,Brighton and Hove,2017,394
847,Brighton and Hove,2018,439
848,Brighton and Hove,2019,423
849,Brighton and Hove,2020,362
850,Brighton and Hove,2021,398
851,Brighton and Hove,2022,459
852,East Sussex CC,2017,558
853,East Sussex CC,2018,545
854,East Sussex CC,2019,552
855,East Sussex CC,2020,487
856,East Sussex CC,2021,555
857,East Sussex CC,2022,614
858,West Surrey,2017,1533
859,West Surrey,2018,1527
860,West Surrey,2019,1559
861,West Surrey,2020,1259
862,West Surrey,2021,1460
863,West Surrey,2022,1534
864,East Surrey,2017,827
865,East Surrey,2018,790
