,Region,Year,Value Added Tax (VAT) on products
717,Outer London - East and North East,2020,4452
718,Outer London - East and North East,2021,4970
719,Outer London - East and North East,2022,5681
720,Bexley and Greenwich,2017,1235
721,Bexley and Greenwich,2018,1283
722,Bexley and Greenwich,2019,1321
723,Bexley and Greenwich,2020,1228
724,Bexley and Greenwich,2021,1377
725,Bexley and Greenwich,2022,1580
726,Barking & Dagenham and Havering,2017,1105
727,Barking & Dagenham and Havering,2018,1149
728,Barking & Dagenham and Havering,2019,1185
729,Barking & Dagenham and Havering,2020,1104
730,Barking & Dagenham and Havering,2021,1235
731,Barking & Dagenham and Havering,2022,1421
732,Redbridge and Waltham Forest,2017,1369
733,Redbridge and Waltham Forest,2018,1422
734,Redbridge and Waltham Forest,2019,1464
735,Redbridge and Waltham Forest,2020,1356
736,Redbridge and Waltham Forest,2021,1511
737,Redbridge and Waltham Forest,2022,1721
738,Enfield,2017,781
739,Enfield,2018,807
740,Enfield,2019,828
741,Enfield,2020,764
742,Enfield,2021,847
743,Enfield,2022,959
744,Outer London - South,2017,4028
745,Outer London - South,2018,4223
746,Outer London - South,2019,4345
747,Outer London - South,2020,4033
748,Outer London - South,2021,4502
749,Outer London - South,2022,5146
750,Bromley,2017,1017
751,Bromley,2018,1066
752,Bromley,2019,1092
753,Bromley,2020,1012
754,Bromley,2021,1131
755,Bromley,2022,1290
756,Croydon,2017,1191
757,Croydon,2018,1249
758,Croydon,2019,1288
759,Croydon,2020,1198
760,Croydon,2021,1339
761,Croydon,2022,1535
762,"Merton, Kingston upon Thames and Sutton",2017,1820
763,"Merton, Kingston upon Thames and Sutton",2018,1908
764,"Merton, Kingston upon Thames and Sutton",2019,1964
765,"Merton, Kingston upon Thames and Sutton",2020,1823
766,"Merton, Kingston upon Thames and Sutton",2021,2032
767,"Merton, Kingston upon Thames and Sutton",2022,2321
768,Outer London - West and North West,2017,5404
769,Outer London - West and North West,2018,5475
770,Outer London - West and North West,2019,5634
771,Outer London - West and North West,2020,5229
772,Outer London - West and North West,2021,5838
773,Outer London - West and North West,2022,6673
774,Barnet,2017,977
775,Barnet,2018,991
776,Barnet,2019,1018
777,Barnet,2020,947
778,Barnet,2021,1059
779,Barnet,2022,1203
780,Brent,2017,871
781,Brent,2018,883
782,Brent,2019,906
783,Brent,2020,833
784,Brent,2021,923
785,Brent,2022,1055
786,Ealing,2017,922
787,Ealing,2018,931
788,Ealing,2019,958
789,Ealing,2020,891
790,Ealing,2021,998
791,Ealing,2022,1144
792,Harrow and Hillingdon,2017,1418
793,Harrow and Hillingdon,2018,1437
794,Harrow and Hillingdon,2019,1480
795,Harrow and Hillingdon,2020,1377
796,Harrow and Hillingdon,2021,1541
797,Harrow and Hillingdon,2022,1769
798,Hounslow and Richmond upon Thames,2017,1216
799,Hounslow and Richmond upon Thames,2018,1233
800,Hounslow and Richmond upon Thames,2019,1272
801,Hounslow and Richmond upon Thames,2020,1181
802,Hounslow and Richmond upon Thames,2021,1316
803,Hounslow and Richmond upon Thames,2022,1501
804,South East,2017,21158
805,South East,2018,22031
806,South East,2019,22885
807,South East,2020,20533
808,South East,2021,22594
809,South East,2022,26461
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,5495
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,5861
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,6089
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,5463
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,6011
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,7040
816,Berkshire,2017,2089
817,Berkshire,2018,2229
818,Berkshire,2019,2312
819,Berkshire,2020,2071
820,Berkshire,2021,2268
821,Berkshire,2022,2647
822,Milton Keynes,2017,623
823,Milton Keynes,2018,665
824,Milton Keynes,2019,692
825,Milton Keynes,2020,622
826,Milton Keynes,2021,687
827,Milton Keynes,2022,807
828,Buckinghamshire CC,2017,1214
829,Buckinghamshire CC,2018,1293
830,Buckinghamshire CC,2019,1342
