,Region,Year,Gross value added (Balanced) at current basic prices
648,Inner London - West,2017,198548
649,Inner London - West,2018,208653
650,Inner London - West,2019,217250
651,Inner London - West,2020,207366
652,Inner London - West,2021,229232
653,Inner London - West,2022,253205
654,Camden and City of London,2017,102981
655,Camden and City of London,2018,107791
656,Camden and City of London,2019,112582
657,Camden and City of London,2020,110876
658,Camden and City of London,2021,124069
659,Camden and City of London,2022,133952
660,Westminster,2017,68426
661,Westminster,2018,72075
662,Westminster,2019,75551
663,Westminster,2020,69927
664,Westminster,2021,77550
665,Westminster,2022,89449
666,Kensington & Chelsea and Hammersmith & Fulham,2017,19835
667,Kensington & Chelsea and Hammersmith & Fulham,2018,21342
668,Kensington & Chelsea and Hammersmith & Fulham,2019,21650
669,Kensington & Chelsea and Hammersmith & Fulham,2020,19852
670,Kensington & Chelsea and Hammersmith & Fulham,2021,20546
671,Kensington & Chelsea and Hammersmith & Fulham,2022,22088
672,Wandsworth,2017,7306
673,Wandsworth,2018,7445
674,Wandsworth,2019,7466
675,Wandsworth,2020,6711
676,Wandsworth,2021,7068
677,Wandsworth,2022,7716
678,Inner London - East,2017,107853
679,Inner London - East,2018,110810
680,Inner London - East,2019,113626
681,Inner London - East,2020,105984
682,Inner London - East,2021,112319
683,Inner London - East,2022,125855
684,Hackney and Newham,2017,13334
685,Hackney and Newham,2018,14291
686,Hackney and Newham,2019,15927
687,Hackney and Newham,2020,15481
688,Hackney and Newham,2021,17181
689,Hackney and Newham,2022,18845
690,Tower Hamlets,2017,37034
691,Tower Hamlets,2018,36113
692,Tower Hamlets,2019,35718
693,Tower Hamlets,2020,34615
694,Tower Hamlets,2021,35246
695,Tower Hamlets,2022,36556
696,Haringey and Islington,2017,22807
697,Haringey and Islington,2018,23837
698,Haringey and Islington,2019,24264
699,Haringey and Islington,2020,22048
700,Haringey and Islington,2021,23877
701,Haringey and Islington,2022,30020
702,Lewisham and Southwark,2017,22206
703,Lewisham and Southwark,2018,23787
704,Lewisham and Southwark,2019,25055
705,Lewisham and Southwark,2020,22826
706,Lewisham and Southwark,2021,23804
707,Lewisham and Southwark,2022,25581
708,Lambeth,2017,12473
709,Lambeth,2018,12782
710,Lambeth,2019,12663
711,Lambeth,2020,11016
712,Lambeth,2021,12211
713,Lambeth,2022,14853
714,Outer London - East and North East,2017,36133
715,Outer London - East and North East,2018,37366
716,Outer London - East and North East,2019,38731
717,Outer London - East and North East,2020,33795
718,Outer London - East and North East,2021,36296
719,Outer London - East and North East,2022,40053
720,Bexley and Greenwich,2017,11413
721,Bexley and Greenwich,2018,11636
722,Bexley and Greenwich,2019,12246
723,Bexley and Greenwich,2020,10604
724,Bexley and Greenwich,2021,11021
725,Bexley and Greenwich,2022,12008
726,Barking & Dagenham and Havering,2017,8755
727,Barking & Dagenham and Havering,2018,9072
728,Barking & Dagenham and Havering,2019,9343
729,Barking & Dagenham and Havering,2020,8195
730,Barking & Dagenham and Havering,2021,9115
731,Barking & Dagenham and Havering,2022,10284
732,Redbridge and Waltham Forest,2017,8918
733,Redbridge and Waltham Forest,2018,9136
734,Redbridge and Waltham Forest,2019,9296
735,Redbridge and Waltham Forest,2020,8033
736,Redbridge and Waltham Forest,2021,8774
737,Redbridge and Waltham Forest,2022,9875
738,Enfield,2017,7047
739,Enfield,2018,7523
740,Enfield,2019,7846
741,Enfield,2020,6963
742,Enfield,2021,7387
743,Enfield,2022,7886
744,Outer London - South,2017,30948
745,Outer London - South,2018,31905
746,Outer London - South,2019,32894
747,Outer London - South,2020,29802
748,Outer London - South,2021,30737
749,Outer London - South,2022,33137
750,Bromley,2017,7760
751,Bromley,2018,7875
752,Bromley,2019,7738
753,Bromley,2020,6957
754,Bromley,2021,7004
755,Bromley,2022,7493
756,Croydon,2017,8635
757,Croydon,2018,9348
758,Croydon,2019,10023
759,Croydon,2020,9330
760,Croydon,2021,9840
761,Croydon,2022,10676
762,"Merton, Kingston upon Thames and Sutton",2017,14553
763,"Merton, Kingston upon Thames and Sutton",2018,14682
764,"Merton, Kingston upon Thames and Sutton",2019,15133
765,"Merton, Kingston upon Thames and Sutton",2020,13515
766,"Merton, Kingston upon Thames and Sutton",2021,13893
767,"Merton, Kingston upon Thames and Sutton",2022,14969
768,Outer London - West and North West,2017,67902
769,Outer London - West and North West,2018,69347
770,Outer London - West and North West,2019,71165
771,Outer London - West and North West,2020,60333
772,Outer London - West and North West,2021,61009
773,Outer London - West and North West,2022,66927
774,Barnet,2017,8272
775,Barnet,2018,8575
776,Barnet,2019,8823
777,Barnet,2020,8381
778,Barnet,2021,8778
779,Barnet,2022,9633
780,Brent,2017,8376
781,Brent,2018,8422
782,Brent,2019,8975
783,Brent,2020,8188
784,Brent,2021,8317
785,Brent,2022,8967
786,Ealing,2017,9103
787,Ealing,2018,9234
788,Ealing,2019,9302
789,Ealing,2020,8839
790,Ealing,2021,8786
791,Ealing,2022,8984
792,Harrow and Hillingdon,2017,18847
793,Harrow and Hillingdon,2018,19326
794,Harrow and Hillingdon,2019,19625
795,Harrow and Hillingdon,2020,15399
796,Harrow and Hillingdon,2021,15860
797,Harrow and Hillingdon,2022,17370
798,Hounslow and Richmond upon Thames,2017,23303
799,Hounslow and Richmond upon Thames,2018,23790
800,Hounslow and Richmond upon Thames,2019,24441
801,Hounslow and Richmond upon Thames,2020,19526
802,Hounslow and Richmond upon Thames,2021,19269
803,Hounslow and Richmond upon Thames,2022,21972
804,South East,2017,270971
805,South East,2018,280535
806,South East,2019,296218
807,South East,2020,291964
808,South East,2021,307222
809,South East,2022,336218
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,90273
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,94733
