,Region,Year,Gross domestic product (GDP) at current market prices
767,"Merton, Kingston upon Thames and Sutton",2022,17872
768,Outer London - West and North West,2017,76972
769,Outer London - West and North West,2018,78445
770,Outer London - West and North West,2019,80576
771,Outer London - West and North West,2020,68113
772,Outer London - West and North West,2021,70015
773,Outer London - West and North West,2022,77280
774,Barnet,2017,9754
775,Barnet,2018,10082
776,Barnet,2019,10365
777,Barnet,2020,9768
778,Barnet,2021,10411
779,Barnet,2022,11366
780,Brent,2017,9690
781,Brent,2018,9710
782,Brent,2019,10316
783,Brent,2020,9418
784,Brent,2021,9736
785,Brent,2022,10565
786,Ealing,2017,10411
787,Ealing,2018,10527
788,Ealing,2019,10625
789,Ealing,2020,10089
790,Ealing,2021,10228
791,Ealing,2022,10582
792,Harrow and Hillingdon,2017,21522
793,Harrow and Hillingdon,2018,22006
794,Harrow and Hillingdon,2019,22390
795,Harrow and Hillingdon,2020,17535
796,Harrow and Hillingdon,2021,18352
797,Harrow and Hillingdon,2022,20263
798,Hounslow and Richmond upon Thames,2017,25595
799,Hounslow and Richmond upon Thames,2018,26119
800,Hounslow and Richmond upon Thames,2019,26880
801,Hounslow and Richmond upon Thames,2020,21303
802,Hounslow and Richmond upon Thames,2021,21288
803,Hounslow and Richmond upon Thames,2022,24504
804,South East,2017,304508
805,South East,2018,314886
806,South East,2019,331457
807,South East,2020,321947
808,South East,2021,341182
809,South East,2022,374453
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,98809
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,103614
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,109271
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,109163
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,115361
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,126092
816,Berkshire,2017,44923
817,Berkshire,2018,47514
818,Berkshire,2019,49930
819,Berkshire,2020,50226
820,Berkshire,2021,53157
821,Berkshire,2022,58447
822,Milton Keynes,2017,13989
823,Milton Keynes,2018,14523
824,Milton Keynes,2019,14908
825,Milton Keynes,2020,14358
826,Milton Keynes,2021,15366
827,Milton Keynes,2022,16207
828,Buckinghamshire CC,2017,16395
829,Buckinghamshire CC,2018,16992
