,Region,Year,Gross domestic product (GDP) per head at current market prices
646,London,2021,57702
647,London,2022,63407
648,Inner London - West,2017,186570
649,Inner London - West,2018,195702
650,Inner London - West,2019,203516
651,Inner London - West,2020,195519
652,Inner London - West,2021,219520
653,Inner London - West,2022,238344
654,Camden and City of London,2017,465135
655,Camden and City of London,2018,488193
656,Camden and City of London,2019,509612
657,Camden and City of London,2020,506808
658,Camden and City of London,2021,578393
659,Camden and City of London,2022,599588
660,Westminster,2017,335848
661,Westminster,2018,353613
662,Westminster,2019,372425
663,Westminster,2020,348587
664,Westminster,2021,387868
665,Westminster,2022,435304
666,Kensington & Chelsea and Hammersmith & Fulham,2017,63059
667,Kensington & Chelsea and Hammersmith & Fulham,2018,67587
668,Kensington & Chelsea and Hammersmith & Fulham,2019,69052
669,Kensington & Chelsea and Hammersmith & Fulham,2020,63830
670,Kensington & Chelsea and Hammersmith & Fulham,2021,67275
671,Kensington & Chelsea and Hammersmith & Fulham,2022,71747
672,Wandsworth,2017,26017
673,Wandsworth,2018,26473
674,Wandsworth,2019,26400
675,Wandsworth,2020,23864
676,Wandsworth,2021,25883
677,Wandsworth,2022,28305
678,Inner London - East,2017,49584
679,Inner London - East,2018,50617
680,Inner London - East,2019,51544
681,Inner London - East,2020,48062
682,Inner London - East,2021,51736
683,Inner London - East,2022,57332
684,Hackney and Newham,2017,25057
685,Hackney and Newham,2018,26539
686,Hackney and Newham,2019,29168
687,Hackney and Newham,2020,28188
688,Hackney and Newham,2021,31493
689,Hackney and Newham,2022,34154
690,Tower Hamlets,2017,131341
691,Tower Hamlets,2018,125505
692,Tower Hamlets,2019,121869
693,Tower Hamlets,2020,116799
694,Tower Hamlets,2021,117114
695,Tower Hamlets,2022,116712
696,Haringey and Islington,2017,49119
697,Haringey and Islington,2018,51507
698,Haringey and Islington,2019,52430
699,Haringey and Islington,2020,47969
700,Haringey and Islington,2021,53205
701,Haringey and Islington,2022,66264
702,Lewisham and Southwark,2017,39482
703,Lewisham and Southwark,2018,41941
704,Lewisham and Southwark,2019,43753
705,Lewisham and Southwark,2020,39830
706,Lewisham and Southwark,2021,42549
707,Lewisham and Southwark,2022,45611
708,Lambeth,2017,40946
709,Lambeth,2018,41859
710,Lambeth,2019,41532
711,Lambeth,2020,36478
712,Lambeth,2021,41654
713,Lambeth,2022,50630
714,Outer London - East and North East,2017,22215
715,Outer London - East and North East,2018,22774
716,Outer London - East and North East,2019,23430
717,Outer London - East and North East,2020,20610
718,Outer London - East and North East,2021,22509
719,Outer London - East and North East,2022,24747
720,Bexley and Greenwich,2017,25017
721,Bexley and Greenwich,2018,25284
722,Bexley and Greenwich,2019,26354
723,Bexley and Greenwich,2020,22933
724,Bexley and Greenwich,2021,24210
725,Bexley and Greenwich,2022,26297
726,Barking & Dagenham and Havering,2017,21995
727,Barking & Dagenham and Havering,2018,22512
728,Barking & Dagenham and Havering,2019,22998
729,Barking & Dagenham and Havering,2020,20320
730,Barking & Dagenham and Havering,2021,22810
731,Barking & Dagenham and Havering,2022,25511
732,Redbridge and Waltham Forest,2017,18389
733,Redbridge and Waltham Forest,2018,18651
734,Redbridge and Waltham Forest,2019,18868
735,Redbridge and Waltham Forest,2020,16464
736,Redbridge and Waltham Forest,2021,18334
737,Redbridge and Waltham Forest,2022,20572
738,Enfield,2017,24802
739,Enfield,2018,26422
740,Enfield,2019,27452
741,Enfield,2020,24653
742,Enfield,2021,26749
743,Enfield,2022,28548
744,Outer London - South,2017,27847
745,Outer London - South,2018,28670
746,Outer London - South,2019,29326
747,Outer London - South,2020,26527
748,Outer London - South,2021,27826
749,Outer London - South,2022,30089
