Year,Region,Industry,Employee _size,Employment_number,Business_number,Turnover,Total Exp.,UK Exp/Head,Real terms Exp.,UK Real terms Exp/Head,General. Public. Exp.,General. Public. Exp.(common services),General. Public. Exp.(international services),Defence Exp.,Safety Exp.,Economic Total. Exp.,Economic. Exp.(Enterprise),Economic. Exp.(Sci. & Tech),Economic. Exp.(Employment),"Economic. Exp.(Agri., Fish., For.)",Economic. Exp.(Transport),Environment. Exp.,Housing & Community Exp.,Health Exp.,Culture & Religion Exp.,Education Exp.,Social Protection Exp.,Local Govt. Exp.,Local Govt. Exp/Head,Total Exp. (excl. Local Govt.),GVA (Balanced),VAT on Products,Other Taxes,Subsidies,GDP (Current),Population,GDP per Head,GVA Deflators,"GDP CVM Index, 2019 equals 100",GDP CVM (in 2019 money value),GDP CVM (Per Head in 2019 money value),GDP CVM Growth,GDP CVM Per Head Growth
2013,north east,S,   20-49,6.776824181,45,65,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   200-249,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   250-499,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north east,S,   500 or more,0,0,0,24159,9284,25662,9861,276,269,7,2,1243,1206,193,118,162,200,533,299,487,5547,313,3434,11354,6454,2480,17705,47418,4571,2676,240,54425,2603299,20906,93.5,90.1,58210,22360,-0.2,-0.3
2013,north west,A,1,5,1905,406,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,A,   2-4,7,1925,667,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,A,   10-19,2,135,224,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,A,   20-49,11.0591346,50,184,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,A,   50-99,10.57496401,15,84,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,A,   200-249,0,0,0,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,B,1,10.23210521,25,5,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,B,   10-19,1,105,194,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,B,   100-199,1,15,900,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
2013,north west,C,1,2,690,92,64480,9102,68491,9668,639,621,18,5,3395,3161,393,290,389,338,1752,2238,870,14672,676,9362,29462,17147,2420,47333,150842,12886,7897,473,171152,7105146,24088,91.1,87.6,187829,26436,1.7,1.3
