,Region,Year,"Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value, per head"
751,Bromley,2018,28803
752,Bromley,2019,27856
753,Bromley,2020,23546
754,Bromley,2021,24415
755,Bromley,2022,25326
756,Croydon,2017,27432
757,Croydon,2018,28956
758,Croydon,2019,29928
759,Croydon,2020,26509
760,Croydon,2021,28257
761,Croydon,2022,29351
762,"Merton, Kingston upon Thames and Sutton",2017,30026
763,"Merton, Kingston upon Thames and Sutton",2018,29643
764,"Merton, Kingston upon Thames and Sutton",2019,29748
765,"Merton, Kingston upon Thames and Sutton",2020,24716
766,"Merton, Kingston upon Thames and Sutton",2021,26477
767,"Merton, Kingston upon Thames and Sutton",2022,27498
768,Outer London - West and North West,2017,37413
769,Outer London - West and North West,2018,37313
770,Outer London - West and North West,2019,37289
771,Outer London - West and North West,2020,29256
772,Outer London - West and North West,2021,31019
773,Outer London - West and North West,2022,32526
774,Barnet,2017,26366
775,Barnet,2018,26433
776,Barnet,2019,26536
777,Barnet,2020,23519
778,Barnet,2021,25864
779,Barnet,2022,27317
780,Brent,2017,29665
781,Brent,2018,28747
782,Brent,2019,29694
783,Brent,2020,25607
784,Brent,2021,27569
785,Brent,2022,28447
786,Ealing,2017,29779
787,Ealing,2018,29468
788,Ealing,2019,28929
789,Ealing,2020,26279
790,Ealing,2021,27256
791,Ealing,2022,26592
792,Harrow and Hillingdon,2017,40017
793,Harrow and Hillingdon,2018,40024
794,Harrow and Hillingdon,2019,39439
795,Harrow and Hillingdon,2020,28406
796,Harrow and Hillingdon,2021,30504
797,Harrow and Hillingdon,2022,31736
798,Hounslow and Richmond upon Thames,2017,54593
799,Hounslow and Richmond upon Thames,2018,55098
800,Hounslow and Richmond upon Thames,2019,55100
801,Hounslow and Richmond upon Thames,2020,40190
802,Hounslow and Richmond upon Thames,2021,41645
803,Hounslow and Richmond upon Thames,2022,45227
804,South East,2017,34757
805,South East,2018,35176
806,South East,2019,36052
807,South East,2020,33201
808,South East,2021,35076
809,South East,2022,36425
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,41778
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,42909
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,44133
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,41984
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,44649
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,45895
816,Berkshire,2017,48565
817,Berkshire,2018,51173
818,Berkshire,2019,53109
819,Berkshire,2020,52622
820,Berkshire,2021,56387
821,Berkshire,2022,58606
822,Milton Keynes,2017,53962
823,Milton Keynes,2018,54022
824,Milton Keynes,2019,52972
