,Region,Year,Gross domestic product (GDP) chained volume measures (CVM) in 2019 money value
794,Harrow and Hillingdon,2019,22390
795,Harrow and Hillingdon,2020,16156
796,Harrow and Hillingdon,2021,17274
797,Harrow and Hillingdon,2022,18149
798,Hounslow and Richmond upon Thames,2017,26094
799,Hounslow and Richmond upon Thames,2018,26587
800,Hounslow and Richmond upon Thames,2019,26880
801,Hounslow and Richmond upon Thames,2020,19596
802,Hounslow and Richmond upon Thames,2021,20134
803,Hounslow and Richmond upon Thames,2022,21952
804,South East,2017,316463
805,South East,2018,321873
806,South East,2019,331457
807,South East,2020,306289
808,South East,2021,326064
809,South East,2022,341657
810,"Berkshire, Buckinghamshire and Oxfordshire",2017,101871
811,"Berkshire, Buckinghamshire and Oxfordshire",2018,105459
812,"Berkshire, Buckinghamshire and Oxfordshire",2019,109271
813,"Berkshire, Buckinghamshire and Oxfordshire",2020,104651
814,"Berkshire, Buckinghamshire and Oxfordshire",2021,112569
815,"Berkshire, Buckinghamshire and Oxfordshire",2022,117016
816,Berkshire,2017,45012
817,Berkshire,2018,47827
818,Berkshire,2019,49930
819,Berkshire,2020,49732
820,Berkshire,2021,53626
821,Berkshire,2022,56191
822,Milton Keynes,2017,14925
823,Milton Keynes,2018,15066
824,Milton Keynes,2019,14908
825,Milton Keynes,2020,13373
