,Region,Year,Total resident population numbers
664,Westminster,2021,205759
665,Westminster,2022,211365
666,Kensington & Chelsea and Hammersmith & Fulham,2017,337371
667,Kensington & Chelsea and Hammersmith & Fulham,2018,337508
668,Kensington & Chelsea and Hammersmith & Fulham,2019,335367
669,Kensington & Chelsea and Hammersmith & Fulham,2020,331429
670,Kensington & Chelsea and Hammersmith & Fulham,2021,327576
671,Kensington & Chelsea and Hammersmith & Fulham,2022,331392
672,Wandsworth,2017,329493
673,Wandsworth,2018,331069
674,Wandsworth,2019,334558
675,Wandsworth,2020,333678
676,Wandsworth,2021,328429
677,Wandsworth,2022,329035
678,Inner London - East,2017,2328482
679,Inner London - East,2018,2349065
680,Inner London - East,2019,2364397
681,Inner London - East,2020,2352890
682,Inner London - East,2021,2329886
683,Inner London - East,2022,2355487
684,Hackney and Newham,2017,603167
685,Hackney and Newham,2018,610780
686,Hackney and Newham,2019,615611
687,Hackney and Newham,2020,613807
688,Hackney and Newham,2021,611338
689,Hackney and Newham,2022,620136
690,Tower Hamlets,2017,293526
691,Tower Hamlets,2018,300050
692,Tower Hamlets,2019,305066
693,Tower Hamlets,2020,306780
694,Tower Hamlets,2021,312715
695,Tower Hamlets,2022,325789
696,Haringey and Islington,2017,495998
697,Haringey and Islington,2018,495693
698,Haringey and Islington,2019,495710
699,Haringey and Islington,2020,490552
700,Haringey and Islington,2021,481367
701,Haringey and Islington,2022,482184
702,Lewisham and Southwark,2017,608564
703,Lewisham and Southwark,2018,613619
704,Lewisham and Southwark,2019,618497
705,Lewisham and Southwark,2020,616224
706,Lewisham and Southwark,2021,606775
707,Lewisham and Southwark,2022,610566
708,Lambeth,2017,327227
709,Lambeth,2018,328923
710,Lambeth,2019,329513
711,Lambeth,2020,325527
712,Lambeth,2021,317691
713,Lambeth,2022,316812
714,Outer London - East and North East,2017,1915435
715,Outer London - East and North East,2018,1929180
716,Outer London - East and North East,2019,1942897
717,Outer London - East and North East,2020,1940867
718,Outer London - East and North East,2021,1935127
719,Outer London - East and North East,2022,1937632
720,Bexley and Greenwich,2017,526870
721,Bexley and Greenwich,2018,531017
722,Bexley and Greenwich,2019,534827
723,Bexley and Greenwich,2020,535308
724,Bexley and Greenwich,2021,536174
725,Bexley and Greenwich,2022,538915
726,Barking & Dagenham and Havering,2017,471446
727,Barking & Dagenham and Havering,2018,475527
728,Barking & Dagenham and Havering,2019,480124
729,Barking & Dagenham and Havering,2020,481133
730,Barking & Dagenham and Havering,2021,480800
731,Barking & Dagenham and Havering,2022,484695
732,Redbridge and Waltham Forest,2017,584042
733,Redbridge and Waltham Forest,2018,588636
734,Redbridge and Waltham Forest,2019,592795
735,Redbridge and Waltham Forest,2020,591277
736,Redbridge and Waltham Forest,2021,588277
737,Redbridge and Waltham Forest,2022,586798
738,Enfield,2017,333077
739,Enfield,2018,334000
740,Enfield,2019,335151
741,Enfield,2020,333149
742,Enfield,2021,329876
743,Enfield,2022,327224
744,Outer London - South,2017,1303737
745,Outer London - South,2018,1308552
746,Outer London - South,2019,1317367
747,Outer London - South,2020,1320140
748,Outer London - South,2021,1313625
749,Outer London - South,2022,1314866
750,Bromley,2017,329134
751,Bromley,2018,330367
752,Bromley,2019,331192
753,Bromley,2020,331247
754,Bromley,2021,329899
755,Bromley,2022,329578
756,Croydon,2017,385567
757,Croydon,2018,386999
758,Croydon,2019,390643
759,Croydon,2020,392101
760,Croydon,2021,390691
761,Croydon,2022,392224
762,"Merton, Kingston upon Thames and Sutton",2017,589036
763,"Merton, Kingston upon Thames and Sutton",2018,591186
